eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
1.81117,0.19358,3.64,2.47E-06,3.44,4.56E-05
1.80715,0.21358,3.65,2.24E-06,3.45,4.20E-05
1.80314,0.19287,3.66,2.07E-06,3.46,3.87E-05
1.79913,0.22038,3.67,1.88E-06,3.47,3.57E-05
1.79514,0.20491,3.68,1.71E-06,3.48,3.28E-05
1.79115,0.22991,3.69,1.56E-06,3.49,3.02E-05
1.78718,0.23256,3.7,1.42E-06,3.5,2.78E-05
1.78321,0.21647,3.71,1.29E-06,3.51,2.56E-05
1.77925,0.22394,3.72,1.16E-06,3.52,2.35E-05
1.7753,0.24113,3.73,1.06E-06,3.53,2.16E-05
1.77136,0.23519,3.74,9.71E-07,3.54,1.98E-05
1.76743,0.24329,3.75,8.90E-07,3.55,1.82E-05
1.76351,0.26767,3.76,8.00E-07,3.56,1.67E-05
1.75959,0.23895,3.77,7.35E-07,3.57,1.54E-05
1.75569,0.25907,3.78,6.74E-07,3.58,1.41E-05
1.75179,0.24438,3.79,6.04E-07,3.59,1.29E-05
1.7479,0.25257,3.8,5.50E-07,3.6,1.19E-05
1.74402,0.24875,3.81,4.95E-07,3.61,1.09E-05
1.74015,0.26358,3.82,4.52E-07,3.62,9.96E-06
1.73629,0.25646,3.83,4.09E-07,3.63,9.12E-06
1.73243,0.26476,3.84,3.72E-07,3.64,8.35E-06
1.72859,0.26811,3.85,3.37E-07,3.65,7.65E-06
1.72475,0.26759,3.86,3.04E-07,3.66,7.00E-06
1.72092,0.26819,3.87,2.78E-07,3.67,6.40E-06
1.7171,0.2749,3.88,2.49E-07,3.68,5.85E-06
1.71329,0.27607,3.89,2.25E-07,3.69,5.35E-06
1.70949,0.32195,3.9,2.05E-07,3.7,4.89E-06
1.70569,0.28905,3.91,1.85E-07,3.71,4.47E-06
1.70191,0.29867,3.92,1.69E-07,3.72,4.08E-06
1.69813,0.29708,3.93,1.50E-07,3.73,3.72E-06
1.69436,0.27518,3.94,1.37E-07,3.74,3.40E-06
1.6906,0.29048,3.95,1.24E-07,3.75,3.10E-06
1.68685,0.31208,3.96,1.12E-07,3.76,2.83E-06
1.6831,0.28268,3.97,1.01E-07,3.77,2.58E-06
1.67936,0.27989,3.98,9.10E-08,3.78,2.35E-06
